member_id,prioritization_score,rank,p_churn_no_outreach,p_churn_with_outreach
2395,0.626701451400331,1,0.789772682843968,0.16307123144363697
8069,0.6185730381797037,2,0.8241661192558573,0.2055930810761536
5329,0.5762871652234083,3,0.6616469125841472,0.0853597473607389
8002,0.5641676227747994,4,0.7195505598881435,0.15538293711334422
3919,0.5597903516964199,5,0.6103259790505119,0.05053562735409197
3641,0.5570891414509981,6,0.5871942458141117,0.030105104363113627
6762,0.5530558568452927,7,0.591830410029649,0.038774553184356304
8256,0.5498172630706867,8,0.5642775853849062,0.014460322314219618
6704,0.5426409409075298,9,0.6397222552280468,0.097081314320517
466,0.5383627802286124,10,0.8142803093547711,0.2759175291261588
3737,0.5377417242452784,11,0.5599142365236143,0.02217251227833582
9667,0.533729740770993,12,0.7293591882817916,0.19562944751079855
3882,0.5289002119856443,13,0.7280908312842216,0.19919061929857731
8584,0.4842493684687277,14,0.6770445180994332,0.19279514963070554
7492,0.4781593819963592,15,0.521321004165878,0.04316162216951882
4724,0.4672695644674588,16,0.5506667061199431,0.08339714165248424
6380,0.4661683778850805,17,0.638242923751502,0.17207454586642157
7169,0.46156086837647464,18,0.5441923078516924,0.08263143947521771
5330,0.4570588521277237,19,0.501117535730288,0.04405868360256437
2714,0.4555996630674628,20,0.7899247677191511,0.3343251046516883
4682,0.4531310440115881,21,0.5994701531923694,0.1463391091807813
3978,0.45036573046270084,22,0.6951557248615644,0.24478999439886356
7485,0.44978036266704857,23,0.7769191473938166,0.32713878472676805
6715,0.44820133085979846,24,0.5999642105145838,0.15176287965478535
4451,0.44724500680582135,25,0.5805210650479741,0.1332760582421527
1714,0.44480935839979047,26,0.740097938465958,0.2952885800661675
3490,0.443922552607112,27,0.6526162189917175,0.20869366638460551
5147,0.4337386894229671,28,0.6374848296025759,0.2037461401796088
1047,0.42919373612476047,29,0.7060615535584278,0.27686781743366734
569,0.42507487908984637,30,0.7036472065523829,0.2785723274625365
6379,0.42439384488279497,31,0.6068243515344489,0.18243050665165397
6082,0.4238947670125686,32,0.46481860068235853,0.040923833669789925
1740,0.42197641419980736,33,0.4491632547079802,0.0271868405081728
3605,0.41851271545431745,34,0.5545917981602904,0.1360790827059729
252,0.4174689506965529,35,0.7207247765640138,0.3032558258674609
9599,0.4158547619461384,36,0.50677108876909,0.09091632682295166
9803,0.4148933012151201,37,0.491633110697495,0.07673980948237492
9596,0.41367189130063947,38,0.6604748708167156,0.24680297951607616
8016,0.4124634570287241,39,0.6392425819686531,0.226779124939929
5003,0.41188785579185827,40,0.5864498706560052,0.17456201486414694
2706,0.41183340996498974,41,0.7531920991126703,0.3413586891476805
8731,0.41111305484474214,42,0.596038172442603,0.18492511759786087
2537,0.4108925064944333,43,0.6077973924782787,0.1969048859838454
5058,0.40781746821585774,44,0.41411955540389705,0.006302087188039339
3359,0.40747560358133356,45,0.549096523254434,0.14162091967310048
7883,0.40645896239906393,46,0.4356508774477866,0.02919191504872267
9761,0.4060959135417221,47,0.4493758244118389,0.04327991087011678
6046,0.4047924811139514,48,0.5921529571555784,0.18736047604162695
5085,0.403195489954222,49,0.49164399596578645,0.08844850601156444
2810,0.4016134821876098,50,0.5950650628075878,0.19345158061997797
4602,0.4002642386034531,51,0.5184811752875381,0.118216936684085
7534,0.39875250149528185,52,0.5384633838783297,0.13971088238304782
5673,0.3971756263224663,53,0.7358577053394156,0.33868207901694936
3683,0.3970341108872558,54,0.617754921646682,0.22072081075942618
3119,0.3960908613528351,55,0.6718283114143623,0.27573745006152717
2933,0.3958206423095442,56,0.4577954430294866,0.061974800719942394
8874,0.3941521138658074,57,0.552316398892163,0.15816428502635557
3785,0.39290147539750864,58,0.4016270546823259,0.00872557928481725
2452,0.38818185134022754,59,0.5311157322209201,0.14293388088069262
1888,0.3855212126126466,60,0.5111516033062503,0.12563039069360368
2154,0.38496695062374736,61,0.6936561770679455,0.3086892264441981
7577,0.38169727136215686,62,0.4630191197823616,0.08132184842020475
8414,0.3799813117194747,63,0.4570896841003311,0.07710837238085635
2522,0.3776353107837137,64,0.6727347847191826,0.29509947393546887
5076,0.37753780388678265,65,0.46071556942898795,0.08317776554220528
5551,0.3756323998876794,66,0.4820067462996734,0.106374346411994
6458,0.3739492818831066,67,0.5744060585390977,0.20045677665599104
926,0.3736026027556833,68,0.529343581184474,0.1557409784287907
6065,0.3733441476489856,69,0.4167586581190799,0.04341451047009433
2498,0.37253543844364495,70,0.8025956828909933,0.4300602444473483
2978,0.3722970761828242,71,0.37917073132946955,0.0068736551466453254
4213,0.3719313974140884,72,0.6955853255529659,0.3236539281388775
5255,0.37025940221922926,73,0.403958778222348,0.03369937600311874
3592,0.36944061423316626,74,0.4352872030368137,0.06584658880364742
5686,0.36898535759546336,75,0.5825501365259229,0.21356477893045958
284,0.3681641129345915,76,0.38038931292310746,0.012225199988515944
9146,0.3670817802939327,77,0.37599989551581403,0.008918115221881366
3337,0.3663910111803341,78,0.37197590245216783,0.005584891271833685
5376,0.3648686042460368,79,0.46461691206112504,0.09974830781508826
8918,0.36342138437913,80,0.4619027582836057,0.09848137390447569
6648,0.362877702497097,81,0.4334860725802991,0.07060837008320207
6798,0.36134588415925883,82,0.3732790777773925,0.011933193618133673
9842,0.3607691134419734,83,0.5337149678518339,0.17294585440986052
5831,0.3598531394431521,84,0.5674489355033745,0.20759579606022238
5527,0.35821458077062607,85,0.5667812256348184,0.2085666448641923
7719,0.35782936229451234,86,0.5054112802069664,0.147581917912454
9286,0.3574167887665926,87,0.3721074063290387,0.01469061756244613
3574,0.3570514081606282,88,0.5124654950386412,0.15541408687801303
62,0.3563260050381439,89,0.6223556391909288,0.26602963415278497
3283,0.35534279237953326,90,0.5085003413471358,0.15315754896760259
2316,0.3551613889918699,91,0.5385191353637848,0.1833577463719149
2192,0.35498843129761354,92,0.45913817388866945,0.10414974259105593
9759,0.35383818287468943,93,0.40870186932825836,0.05486368645356894
2168,0.35368260059165346,94,0.7665731227438665,0.412890522152213
5881,0.3536388829154286,95,0.42564010472069336,0.07200122180526475
2797,0.3520136964773689,96,0.7172560674533084,0.3652423709759395
2214,0.3479873382661707,97,0.41009676249310517,0.062109424226934475
3923,0.3473384117967598,98,0.6340951692942585,0.2867567574974987
2025,0.34708144646924344,99,0.5991843181464807,0.2521028716772372
51,0.34571272912090767,100,0.4748866220556557,0.12917389293474799
4100,0.3438298032522022,101,0.5389821705526652,0.19515236730046298
1683,0.34342660918916407,102,0.3715818896508286,0.028155280461664562
5582,0.3433700199682159,103,0.5972533139251888,0.25388329395697284
9417,0.34310596776806407,104,0.4745032114467322,0.13139724367866812
3898,0.3402011162728754,105,0.41648213520118327,0.07628101892830785
1646,0.3372946660750478,106,0.6395198312940629,0.30222516521901505
4789,0.33650212753976116,107,0.36195887925634024,0.025456751716579074
5002,0.3341991244876209,108,0.4166706441155177,0.0824715196278968
6036,0.33323895952487764,109,0.4541340658041547,0.12089510627927706
2327,0.3325978503214247,110,0.6296295299537655,0.29703167963234084
7335,0.33084310115466337,111,0.3695930403497412,0.03874993919507783
3399,0.330628449018304,112,0.40787607320972064,0.07724762419141659
6698,0.33057260937904087,113,0.7617962198909123,0.4312236105118714
5321,0.33049370456791943,114,0.6848443747518179,0.3543506701838985
576,0.33022828254753434,115,0.4643214624098167,0.13409317986228236
2865,0.32960593931271603,116,0.8008913586589279,0.4712854193462119
